created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-04-12 07:55:06 UTC,237,0.0,0.0,0.0,-0.01,21.32,68.2,-503.0,22.69
2018-04-12 08:05:05 UTC,238,0.0,0.0,0.0,0.02,21.56,68.6,-501.0,22.69
2018-04-12 08:15:04 UTC,239,0.0,0.0,0.0,0.02,21.61,69.01,-504.0,22.63
2018-04-12 08:25:04 UTC,240,0.0,0.0,0.0,-0.01,21.81,67.8,-504.0,22.63
2018-04-12 08:35:03 UTC,241,0.0,0.0,0.0,0.0,21.64,68.41,-503.0,22.63
2018-04-12 08:45:02 UTC,242,0.0,0.0,0.0,0.02,21.52,69.17,-503.0,22.58
2018-04-12 08:55:01 UTC,243,0.0,0.0,0.0,0.02,21.4,68.88,-505.0,22.58
2018-04-12 09:05:00 UTC,244,0.0,0.0,0.0,0.02,21.18,70.21,-505.0,22.52
2018-04-12 09:14:59 UTC,245,0.0,0.0,0.0,-0.01,21.29,70.23,-506.0,22.47
2018-04-12 09:24:59 UTC,246,0.0,0.0,0.0,0.0,20.73,71.41,-507.0,22.47
2018-04-12 09:34:58 UTC,247,0.0,0.0,0.0,0.02,20.88,71.14,-507.0,22.42
2018-04-12 09:44:57 UTC,248,0.0,0.0,0.0,0.0,20.95,70.98,-508.0,22.42
2018-04-12 09:54:56 UTC,249,0.0,0.0,0.0,0.0,20.75,70.68,-507.0,22.36
2018-04-12 10:04:55 UTC,250,0.0,0.0,0.0,0.0,21.32,69.42,-509.0,22.31
2018-04-12 10:14:54 UTC,251,0.0,0.0,0.0,0.0,21.48,68.77,-508.0,22.31
2018-04-12 10:24:53 UTC,252,0.0,0.0,0.0,-0.01,21.28,69.53,-508.0,22.31
2018-04-12 10:34:52 UTC,253,0.0,0.0,0.0,0.0,21.29,70.24,-508.0,22.31
2018-04-12 10:44:52 UTC,254,1.0,1.0,6.0,-0.01,21.12,70.9,-509.0,22.25
2018-04-12 10:54:51 UTC,255,7.0,2.0,96.0,0.0,21.12,70.99,-509.0,22.25
2018-04-12 11:04:50 UTC,256,27.0,9.0,362.0,0.03,21.18,70.74,-510.0,22.25
2018-04-12 11:14:49 UTC,257,51.0,19.0,667.0,0.03,20.9,69.83,-511.0,22.2
2018-04-12 11:24:48 UTC,258,83.0,31.0,1084.0,0.06,20.85,70.46,-511.0,22.2
2018-04-12 11:34:47 UTC,259,115.0,45.0,1484.0,0.06,21.0,68.76,-511.0,22.15
2018-04-12 11:44:47 UTC,260,146.0,57.0,1885.0,0.06,20.57,70.11,-511.0,22.15
